City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,burang,30.25,81.1667,288.88,58,85,1.28,CN,1689310460
125,juybar,36.6412,52.9124,299.24,60,97,1.62,IR,1689310460
126,qusmuryn,52.4503,64.6311,295.93,48,83,6.07,KZ,1689310461
127,terrace,54.5163,-128.6035,295.1,46,75,9.26,CA,1689310461
128,horodnytsya,50.807,27.3168,289.25,89,100,5.02,UA,1689310461
129,luena,-11.7833,19.9167,285.25,62,0,3.09,AO,1689310461
130,goroka,-6.0834,145.3873,298.36,50,50,0.91,PG,1689310462
131,cuyo,10.8525,121.0086,301.25,79,99,8.52,PH,1689310462
132,dudinka,69.4058,86.1778,280.72,50,78,5.24,RU,1689310462
133,tobruk,32.0836,23.9764,298.54,85,0,6.23,LY,1689310462
134,riachao das neves,-11.7461,-44.91,293.26,40,0,1.38,BR,1689310463
135,brigantine,39.4101,-74.3646,299.84,91,0,3.6,US,1689310463
136,ust'-barguzin,53.45,108.9833,290.07,56,24,2.04,RU,1689310463
137,azangaro,-14.9167,-70.2167,275.48,84,5,1.72,PE,1689310463
138,happy valley-goose bay,53.3168,-60.3315,294.32,68,75,2.06,CA,1689310464
139,kusa,55.3383,59.4406,286.8,62,100,2.97,RU,1689310464
140,aasiaat,68.7098,-52.8699,277.43,96,100,2.84,GL,1689310464
141,west island,-12.1568,96.8225,299.14,78,75,8.75,CC,1689310464
142,udachny,66.4167,112.4,284.51,39,76,6.72,RU,1689310465
143,papao,-17.75,-149.55,298.97,70,18,7.85,PF,1689310465
144,tambovka,50.0969,128.0489,305.75,27,74,6.56,RU,1689310465
145,puerto maldonado,-12.6,-69.1833,298.33,72,88,3.23,PE,1689310465
146,gumushacikoy,40.8731,35.2147,290.33,53,0,1.0,TR,1689310466
147,namtsy,62.7161,129.6658,294.69,39,100,2.3,RU,1689310466
148,arraial do cabo,-22.9661,-42.0278,294.27,75,0,9.02,BR,1689310430
149,selfoss,63.9331,-20.9971,280.95,85,88,5.42,IS,1689310467
150,tadine,-21.55,167.8833,294.61,60,25,9.67,NC,1689310467
151,brookings,44.3114,-96.7984,295.47,83,0,2.57,US,1689310359
152,longboat key,27.4125,-82.659,302.18,63,0,0.0,US,1689310467
153,ishigaki,24.3448,124.1572,305.22,74,75,5.66,JP,1689310468
154,muynoq,43.7683,59.0214,300.87,34,0,5.45,UZ,1689310468
155,st. john's,47.5649,-52.7093,289.14,92,100,2.57,CA,1689310468
156,kingscliff,-28.2667,153.5667,295.78,60,100,3.09,AU,1689310468
157,itacoatiara,-3.1431,-58.4442,298.23,77,49,0.48,BR,1689310246
158,el granada,37.5027,-122.4694,293.74,86,100,8.23,US,1689310469
159,muisne,0.6,-80.0333,299.03,88,75,2.93,EC,1689310469
160,christchurch,-43.5333,172.6333,284.79,81,40,3.09,NZ,1689310195
161,holualoa,19.6228,-155.9522,299.06,80,40,4.63,US,1689310469
162,stephenville,32.2207,-98.2023,307.17,40,40,3.6,US,1689310470
163,kapuskasing,49.4169,-82.4331,290.2,67,0,2.57,CA,1689310470
164,acarau,-2.8856,-40.12,298.5,85,0,6.15,BR,1689310382
165,jabat,7.75,168.9751,301.68,76,22,8.09,MH,1689310470
166,naracoorte,-36.9579,140.7383,287.94,61,100,6.03,AU,1689310470
167,puerto baquerizo moreno,-0.9,-89.6,298.23,82,51,3.11,EC,1689310471
168,hilo,19.7297,-155.09,300.0,77,40,3.09,US,1689310442
169,oakdale,44.963,-92.9649,293.65,94,0,3.09,US,1689310332
170,taoudenni,22.6783,-3.9836,307.75,8,3,5.03,ML,1689310471
171,al jawf,29.5,38.75,305.94,13,2,2.5,SA,1689310472
